City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Pierre,US,2021-09-21 21:26:02,44.3683,-100.351,70.86,35,1,8.01
241,Tumaco,CO,2021-09-21 21:26:03,1.7986,-78.8156,80.47,76,95,12.84
242,Agadir,MA,2021-09-21 21:26:03,30.4202,-9.5982,70.25,83,55,4.03
243,East London,ZA,2021-09-21 21:23:45,-33.0153,27.9116,59.67,60,97,1.32
244,Alcaudete,ES,2021-09-21 21:26:04,37.5909,-4.0824,64.45,58,65,0.45
245,Grindavik,IS,2021-09-21 21:26:04,63.8424,-22.4338,42.75,87,40,25.32
246,Rancho Palos Verdes,US,2021-09-21 21:26:04,33.7445,-118.387,103.93,74,1,4.0
247,Sur,OM,2021-09-21 21:26:05,22.5667,59.5289,86.25,62,23,12.41
248,Boyuibe,BO,2021-09-21 21:26:05,-20.4167,-63.2833,69.71,65,97,9.84
249,Bam,IR,2021-09-21 21:26:05,29.106,58.357,83.91,18,30,5.77
250,Mantua,IT,2021-09-21 21:26:06,45.1667,10.7833,65.35,80,0,5.01
251,Tuatapere,NZ,2021-09-21 21:26:06,-46.1333,167.6833,48.81,79,13,4.32
252,Linqiong,CN,2021-09-21 21:26:06,30.4159,103.4609,76.82,86,89,2.95
253,Huangpi,CN,2021-09-21 21:26:07,30.8845,114.3779,75.31,94,0,6.71
254,Mehamn,NO,2021-09-21 21:26:07,71.0357,27.8492,42.71,73,7,23.42
255,Daru,PG,2021-09-21 21:26:07,-9.0763,143.2092,76.68,89,57,13.35
256,Ambatofinandrahana,MG,2021-09-21 21:26:08,-20.55,46.8,56.88,88,3,2.42
257,Waddan,LY,2021-09-21 21:26:08,29.1614,16.139,88.63,16,0,8.97
258,Morant Bay,JM,2021-09-21 21:26:09,17.8815,-76.4093,87.42,70,7,9.22
259,Poum,NC,2021-09-21 21:26:09,-20.2333,164.0167,74.95,71,99,10.09
260,Elat,IL,2021-09-21 21:26:09,29.5581,34.9482,85.84,35,0,13.8
261,Balabac,PH,2021-09-21 21:26:10,7.9868,117.0645,78.1,89,100,17.18
262,Nurota,UZ,2021-09-21 21:26:10,40.5614,65.6886,59.09,16,0,5.53
263,Vilcun,CL,2021-09-21 21:26:10,-38.65,-72.2333,66.94,53,0,5.5
264,Mount Gambier,AU,2021-09-21 21:26:11,-37.8333,140.7667,49.91,93,90,6.91
265,Boguchar,RU,2021-09-21 21:26:11,49.9358,40.545,53.67,72,90,5.66
266,Severo-Kurilsk,RU,2021-09-21 21:26:11,50.6789,156.125,49.5,85,26,11.79
267,Miracema Do Tocantins,BR,2021-09-21 21:26:12,-9.5618,-48.3967,95.76,15,39,0.96
268,Mao,ES,2021-09-21 21:26:12,39.8885,4.2658,66.76,82,75,9.22
269,Lavrentiya,RU,2021-09-21 21:26:13,65.5833,-171.0,33.85,60,12,9.78
270,Shimoda,JP,2021-09-21 21:26:13,34.6667,138.95,75.31,88,95,4.07
271,Tobane,BW,2021-09-21 21:26:13,-21.95,27.9,62.1,71,0,18.99
272,Verkhnyaya Inta,RU,2021-09-21 21:26:14,65.9811,60.3094,38.34,93,100,5.95
273,Hay River,CA,2021-09-21 21:26:14,60.8156,-115.7999,57.18,62,75,3.44
274,Parainen,FI,2021-09-21 21:26:15,60.3067,22.301,44.15,76,14,6.26
275,Dargaville,NZ,2021-09-21 21:26:15,-35.9333,173.8833,60.73,79,100,10.96
276,Rincon,US,2021-09-21 21:23:29,32.296,-81.2354,88.25,78,75,5.75
277,Saldanha,ZA,2021-09-21 21:26:16,-33.0117,17.9442,48.25,78,2,10.71
278,Bachaquero,VE,2021-09-21 21:26:16,9.9694,-71.1494,86.07,67,100,6.17
279,Marzuq,YE,2021-09-21 21:26:17,14.4,46.4667,79.86,56,79,3.69
280,Batemans Bay,AU,2021-09-21 21:26:17,-35.7167,150.1833,54.19,62,58,3.24
281,Usinsk,RU,2021-09-21 21:26:17,65.9939,57.5281,40.06,96,91,7.31
282,Arona,ES,2021-09-21 21:26:18,28.0996,-16.681,68.32,66,40,1.99
283,Road Town,VG,2021-09-21 21:21:46,18.4167,-64.6167,85.19,84,40,8.05
284,Rizhao,CN,2021-09-21 21:26:18,35.4275,119.4553,68.49,79,43,2.98
285,Doha,QA,2021-09-21 21:22:14,25.2867,51.5333,87.78,56,0,3.44
286,Olafsvik,IS,2021-09-21 21:26:19,64.8945,-23.7142,40.46,82,100,21.3
287,Aswan,EG,2021-09-21 21:26:19,24.0934,32.907,92.01,14,2,8.1
288,Aripuana,BR,2021-09-21 21:26:19,-9.1667,-60.6333,98.11,27,74,1.05
289,Cidreira,BR,2021-09-21 21:26:20,-30.1811,-50.2056,59.27,64,73,16.15
290,Narsaq,GL,2021-09-21 21:24:46,60.9167,-46.05,37.62,59,100,2.53
291,Oranjemund,NA,2021-09-21 21:26:20,-28.55,16.4333,66.6,37,2,8.05
292,Mooresville,US,2021-09-21 21:26:21,35.5849,-80.8101,74.01,91,100,5.32
293,Otradnoye,RU,2021-09-21 21:26:21,59.7775,30.8181,44.65,79,100,6.04
